Kategori,Fråga,Lägre gräns 2p,Lägre gräns 3p,Lägre gräns 4p,Lägre gräns 6p,Rätt svar,Övre gräns 6p,Övre gräns 4p,Övre gräns 3p,Övre gräns 2p,Kommentar,Källa
Teknik,Vad är den kallaste temperaturen i celsius som någonsin registrerats på jorden? (som känt 2024),−125,−116,−107,−98,-89.2,−80,−71,−62,−53,Uppmättes i Vostok i Antarktis den 21 juli 1983,
Teknik,Hur snabb är världens snabbaste myra i km/h?,1.1,1.6,2.1,2.6,3.1,3.6,4.1,4.6,5.1,Silvermyran i Saharaöknen,
Teknik,Hur många öar består det stora barriärrevet av?,540,630,720,810,900,990,1080,1170,1260,,
Teknik,Hur många kilometer är världens längsta bro?,70,100,125,145,165,185,205,230,260,Danyang-Kunshan Grand Bridge,
Teknik,Hur många smaklökar har den genomsnittliga mänskliga tungan?,6000,7000,8000,9000,10000,11000,12000,13000,14000,,
Teknik,"Vad är rekordet för flest fallskärmshopp av en människa, i tusen?",26,31,36,41,46000,51,56,61,66,Rekordet sattes av Don Kellner,
Teknik,Hur många år gammalt är världens äldsta icke-klonade träd?,2855,3355,3855,4355,4855,5355,5855,6355,6855,Världens äldsta icke-klonade träd är den 4 855 år gamla Methuselah - en Bristlecone-tallar från Kalifornien.,
Teknik,Vad är världsrekordet för flest minuter som någon hållit andan?,13,16,19,22,25,28,31,34,37,Exakt: 24 min 37s,
Teknik,Hur många kilometer lång är jordens omkrets?,10000,19000,28000,36000,40075,44075,53075,62075,71075,,
Teknik,I Juli år 2024 satte Stefan Kraft världsrekord i längsta backhopp. Hur många meter var det?,198,212,226,240,253.5 meter,268,282,296,310,Exakt: 253.5 meter,
Teknik,Hur stor radie har månen i km?,1500,1600,1650,1700,1737,1750,1750,1800,1900,,
Teknik,Ungefär hur många biljoner celler består en fullvuxen människa av?,27,31,34,36,37,38,40,43,47,,
Teknik,Vilket år flögs det första flygplanet?,1830,1860,1880,1900,1903,1906,1920,1940,1990,,
Teknik,Hur många dager tar det för kakaobönor att fermentera?,1,3,4,5,5-7,7,8,9,12,,
Teknik,Hur stor är Kina i km^2?,5000000,7000000,8000000,9000000,9597000,1000000,1100000,12000000,14000000,,
Teknik,Vilket år vann ABBA Eurovision?,1955,1960,1965,1970,1974,1975,1980,1985,1990,,
Teknik,Hur många växtarter finns det i världen år 2024?,100000,200000,250000,280000,298000,300000,350000,300000,400000,,
Teknik,Hur många veckor tar det för lageröl att jäsa?,0,1,2,3,2-3,3,4,5,7,,
Teknik,Vilket år öppnade Franklins gymnasium?,2016,2017,2018,2019,2019,2019,2020,2021,2022,,
Teknik,Hur många biljoner bakterier finns i människo kroppen,10,20,30,35,40,45,50,60,70,,
Teknik,"Hur många elbussar körs i kommunerna Göteborg, Mölndal och Partille?",220,300,330,350,365,380,400,430,500,,
Teknik,När utfördes det första publika telefonsamtalet?,1940,1950,1960,1970,1973,1975,1980,1990,2000,,
Teknik,Hur många procent av svenskarna plockar svamp ?,30,35,37,39,40,41,43,45,50,,
